SYS_FIELD_NAME,FIELD_DESC
YEAR,Year
QUARTER,Quarter (1-4)
MONTH,Month
DAY_OF_MONTH,Day of Month
DAY_OF_WEEK,Day of Week
FL_DATE,Flight Date (yyyymmdd)
MKT_UNIQUE_CARRIER,"Unique Marketing Carrier Code. When the same code has been used by multiple carriers, a numeric suffix is used for earlier users, for example, PA, PA(1), PA(2). Use this field for analysis across a range of years."
MKT_CARRIER_FL_NUM,Flight Number
OP_UNIQUE_CARRIER,"Unique Carrier Code. When the same code has been used by multiple carriers, a numeric suffix is used for earlier users, for example, PA, PA(1), PA(2). Use this field for analysis across a range of years."
TAIL_NUM,Tail Number
ORIGIN_AIRPORT_ID,"Origin Airport, Airport ID. An identification number assigned by US DOT to identify a unique airport.  Use this field for airport analysis across a range of years because an airport can change its airport code and airport codes can be reused."
ORIGIN,Origin Airport
ORIGIN_STATE_ABR,"Origin Airport, State Code"
DEST_AIRPORT_ID,"Destination Airport, Airport ID. An identification number assigned by US DOT to identify a unique airport.  Use this field for airport analysis across a range of years because an airport can change its airport code and airport codes can be reused."
DEST,Destination Airport
DEST_STATE_ABR,"Destination Airport, State Code"
CRS_DEP_TIME,CRS Departure Time (local time: hhmm)
DEP_TIME,Actual Departure Time (local time: hhmm)
DEP_DELAY,Difference in minutes between scheduled and actual departure time. Early departures show negative numbers.
DEP_DEL15,"Departure Delay Indicator, 15 Minutes or More (1=Yes)"
DEP_TIME_BLK,"CRS Departure Time Block, Hourly Intervals"
TAXI_OUT,"Taxi Out Time, in Minutes"
WHEELS_OFF,Wheels Off Time (local time: hhmm)
WHEELS_ON,Wheels On Time (local time: hhmm)
TAXI_IN,"Taxi In Time, in Minutes"
CRS_ARR_TIME,CRS Arrival Time (local time: hhmm)
ARR_TIME,Actual Arrival Time (local time: hhmm)
ARR_DELAY,Difference in minutes between scheduled and actual arrival time. Early arrivals show negative numbers.
ARR_DEL15,"Arrival Delay Indicator, 15 Minutes or More (1=Yes)"
ARR_TIME_BLK,"CRS Arrival Time Block, Hourly Intervals"
CANCELLED,Cancelled Flight Indicator (1=Yes)
CANCELLATION_CODE,Specifies The Reason For Cancellation
DIVERTED,Diverted Flight Indicator (1=Yes)
CRS_ELAPSED_TIME,"CRS Elapsed Time of Flight, in Minutes"
ACTUAL_ELAPSED_TIME,"Elapsed Time of Flight, in Minutes"
AIR_TIME,"Flight Time, in Minutes"
DISTANCE,Distance between airports (miles)
DISTANCE_GROUP,"Distance Intervals, every 250 Miles, for Flight Segment"
CARRIER_DELAY,"Carrier Delay, in Minutes"
WEATHER_DELAY,"Weather Delay, in Minutes"
NAS_DELAY,"National Air System Delay, in Minutes"
SECURITY_DELAY,"Security Delay, in Minutes"
LATE_AIRCRAFT_DELAY,"Late Aircraft Delay, in Minutes"
